"Tickers","CCY","Quantity","Purchase price"
"ADBE","USD",3,495.25
"AMD","USD",11,80.02
"AMCR","USD",100,8.77
"AME","USD",8,137.52
"ASML.AS","EUR",2,625.7
"TEAM","USD",4,210.59
"ADSK","USD",4,246.67
"BALL","USD",13,76.1069
"KO","USD",17,49.187
"LHA.DE","EUR",50,9.338
"DUOL","USD",8,135.02
"ENX.PA","EUR",14,65.2214
"INTC","USD",20,48.1375
"IP","USD",6,57.85
"LOGI","USD",10,108.72
"MA","USD",2,307.43
"MDLZ","USD",10,45.03
"PLTR","USD",200,21.1767
"PYPL","USD",3,131.77
"RI.PA","EUR",5,126.9
"PFE.DE","EUR",22,34.2531
"PHIA.AS","EUR",32,36.3723
"SEE","USD",20,29.12
"SHELL.AS","EUR",35,28.995
"THULE.ST","SEK",10,528.5
"UNA.AS","EUR",5,50.26
"WDI","EUR",9,1.088
